obs,pnum,extent,label
bart,1,10.3556241627823,B
joe,1,15.473015667353,J
kurt,1,16.6310378771312,K
sam,1,10.0787628937936,S
bart,2,11.10861905132,B
joe,2,14.405680828328,J
kurt,2,18.1822122605483,K
sam,2,17.6856352638549,S
bart,3,24.8161111276429,B
joe,3,5.40428739180222,J
kurt,3,38.0844366622521,K
bart,4,37.1378797223996,B
joe,4,52.2058767673279,J
kurt,4,30.8181397940784,K
sam,4,15.9313755170351,S
bart,5,6.97521876805012,B
joe,5,8.95721713321118,J
kurt,5,9.514627840801,K
sam,5,8.22210533685073,S
joe,6,9.46830673095173,J
kurt,6,9.23741340966352,K
sam,6,8.29977303884596,S
bart,7,15.5440559989808,B
joe,7,18.45389023463,J
kurt,7,19.2245624539178,K
sam,7,16.3789465491696,S
bart,10,7.96297003130841,B
joe,10,21.9109465511777,J
kurt,10,10.3460433936567,K
sam,10,18.8589853212126,S
bart,11,30.240480513777,B
joe,11,26.6080003458678,J
kurt,11,19.9786207186427,K
bart,12,24.3146521796926,B
joe,12,9.96229518691626,J
kurt,12,18.0433078740931,K
bart,14,9.86699415004168,B
joe,14,11.548734664741,J
kurt,14,12.7672706179938,K
bart,15,10.5331677143174,B
joe,15,10.8095340887397,J
kurt,15,11.4240926706241,K
sam,15,6.90520124171439,S
bart,16,7.47991092217079,B
joe,16,7.38372476503345,J
kurt,16,8.78709030445399,K
sam,16,6.85208461574198,S
bart,17,18.2009333675359,B
joe,17,22.7537811324025,J
kurt,17,18.9827922732819,K
sam,17,14.7310393564327,S
bart,18,11.3590524675687,B
joe,18,8.39678325503195,J
kurt,18,15.7128553066182,K
sam,18,10.4445273347088,S
bart,19,11.429312848465,B
joe,19,11.5646237783368,J
kurt,19,13.4584700364713,K
sam,19,4.17892221325807,S
joe,20,14.6888639026886,J
kurt,20,15.7607719312406,K
sam,20,9.26017002389367,S
bart,21,25.7760484382969,B
joe,21,2.44169069699728,J
kurt,21,15.4059486009401,K
sam,21,10.5199006668049,S
bart,22,10.6470645368302,B
joe,22,13.3967788289309,J
kurt,22,12.1694585197296,K
sam,22,10.6658038278102,S
bart,23,17.1018588109404,B
joe,23,7.21506225979483,J
kurt,23,24.7545217668625,K
sam,23,28.6049446606579,S
joe,24,24.5640677405345,J
kurt,24,19.6217252906114,K
sam,24,14.6648879219466,S
joe,25,7.41480223544362,J
kurt,25,8.78140171012782,K
sam,25,5.72751946435118,S
joe,26,12.8684141466228,J
kurt,26,12.2416458479299,K
sam,26,9.66645991660116,S
joe,27,13.4518648365171,J
sam,27,7.47692273661327,S
joe,28,7.98916874312955,J
kurt,28,13.7571108270006,K
sam,28,9.41200634023131,S
joe,29,6.94028716476368,J
kurt,29,6.58643216800744,K
sam,29,5.37237802379751,S
bart2,1,11.0589,B2
bart2,2,10.1089,B2
bart2,3,18.5949,B2
bart2,4,36.6323,B2
bart2,5,4.8688,B2
bart2,6,4.6582,B2
bart2,7,16.4832,B2
bart2,8,NA,B2
bart2,9,NA,B2
bart2,10,7.3421,B2
bart2,11,18.146,B2
bart2,12,10.1782,B2
bart2,13,NA,B2
bart2,14,9.0361,B2
bart2,15,7.0152,B2
bart2,16,5.3963,B2
bart2,17,14.0225,B2
bart2,18,8.9992,B2
bart2,19,8.5939,B2
bart2,20,19.6932,B2
bart2,21,9.0802,B2
bart2,22,4.852,B2
bart2,23,14.2311,B2
